,team,half,min,x_start,y_start,type_def,game
0,Croatia,1,7,43.199999999999996,55.68,Tackle,Brazil vs Croatia
1,Croatia,1,7,53.16,63.6,Tackle,Brazil vs Croatia
2,Brazil,1,9,67.32,14.8,Tackle,Brazil vs Croatia
3,Croatia,1,9,45.35999999999999,74.0,Tackle,Brazil vs Croatia
4,Croatia,1,13,80.16,45.6,Tackle,Brazil vs Croatia
5,Brazil,1,29,47.279999999999994,15.76,Tackle,Brazil vs Croatia
6,Croatia,1,32,8.4,6.0,Tackle,Brazil vs Croatia
7,Brazil,1,35,42.0,4.32,Tackle,Brazil vs Croatia
8,Croatia,1,36,18.119999999999997,74.24,Tackle,Brazil vs Croatia
9,Brazil,1,36,78.96,2.8800000000000003,Tackle,Brazil vs Croatia
10,Croatia,1,37,70.2,2.32,Tackle,Brazil vs Croatia
11,Brazil,1,38,22.8,5.84,Tackle,Brazil vs Croatia
12,Croatia,1,40,30.96,76.32000000000001,Tackle,Brazil vs Croatia
13,Croatia,1,42,50.879999999999995,35.2,Tackle,Brazil vs Croatia
14,Croatia,1,43,35.16,76.96000000000001,Tackle,Brazil vs Croatia
15,Brazil,1,44,84.96,9.600000000000001,Tackle,Brazil vs Croatia
16,Croatia,1,44,9.839999999999998,56.48,Tackle,Brazil vs Croatia
17,Croatia,2,46,37.8,54.720000000000006,Tackle,Brazil vs Croatia
18,Croatia,2,47,21.96,77.60000000000001,Tackle,Brazil vs Croatia
19,Croatia,2,49,6.0,67.36,Tackle,Brazil vs Croatia
20,Brazil,2,51,69.36,4.4799999999999995,Tackle,Brazil vs Croatia
21,Brazil,2,59,27.12,2.08,Tackle,Brazil vs Croatia
22,Brazil,2,61,38.76,3.12,Tackle,Brazil vs Croatia
23,Brazil,2,64,8.28,72.0,Tackle,Brazil vs Croatia
24,Croatia,2,67,45.12,2.8800000000000003,Tackle,Brazil vs Croatia
25,Brazil,2,74,68.52,70.88,Tackle,Brazil vs Croatia
26,Croatia,2,78,4.32,8.32,Tackle,Brazil vs Croatia
27,Croatia,2,80,40.68,73.36,Tackle,Brazil vs Croatia
28,Brazil,2,83,23.279999999999998,8.959999999999999,Tackle,Brazil vs Croatia
29,Brazil,2,84,6.72,68.88,Tackle,Brazil vs Croatia
30,Brazil,2,85,14.16,17.84,Tackle,Brazil vs Croatia
31,Croatia,2,86,53.16,35.12,Tackle,Brazil vs Croatia
32,Croatia,2,89,79.44,23.200000000000003,Tackle,Brazil vs Croatia
33,Croatia,2,90,66.24,17.28,Tackle,Brazil vs Croatia
34,Brazil,2,90,65.52,58.56,Tackle,Brazil vs Croatia
35,Brazil,2,91,16.08,73.44,Tackle,Brazil vs Croatia
36,Croatia,2,92,26.16,7.040000000000001,Tackle,Brazil vs Croatia
37,Spain,1,1,42.84,35.760000000000005,Tackle,Spain vs Netherlands
38,Netherlands,1,7,74.04,19.12,Tackle,Spain vs Netherlands
39,Spain,1,8,32.879999999999995,3.04,Tackle,Spain vs Netherlands
40,Netherlands,1,9,51.84,11.280000000000001,Tackle,Spain vs Netherlands
41,Spain,1,12,80.88000000000001,32.0,Tackle,Spain vs Netherlands
42,Netherlands,1,12,21.599999999999998,9.920000000000002,Tackle,Spain vs Netherlands
43,Netherlands,1,17,48.959999999999994,51.2,Tackle,Spain vs Netherlands
44,Spain,1,19,93.48,11.280000000000001,Tackle,Spain vs Netherlands
45,Netherlands,1,22,30.72,10.08,Tackle,Spain vs Netherlands
46,Netherlands,1,23,32.64,2.4000000000000004,Tackle,Spain vs Netherlands
47,Spain,1,23,52.440000000000005,10.08,Tackle,Spain vs Netherlands
48,Spain,1,29,64.55999999999999,75.52000000000001,Tackle,Spain vs Netherlands
49,Spain,1,32,44.64,65.76,Tackle,Spain vs Netherlands
50,Spain,1,32,6.72,1.6,Tackle,Spain vs Netherlands
51,Spain,1,33,27.12,2.5600000000000005,Tackle,Spain vs Netherlands
52,Spain,1,38,103.44,78.24000000000001,Tackle,Spain vs Netherlands
53,Netherlands,2,45,29.879999999999995,10.4,Tackle,Spain vs Netherlands
54,Netherlands,2,45,47.16,15.680000000000001,Tackle,Spain vs Netherlands
55,Netherlands,2,46,63.35999999999999,13.12,Tackle,Spain vs Netherlands
56,Spain,2,46,10.08,70.96000000000001,Tackle,Spain vs Netherlands
57,Netherlands,2,48,51.6,42.400000000000006,Tackle,Spain vs Netherlands
58,Spain,2,48,43.68,55.2,Tackle,Spain vs Netherlands
59,Netherlands,2,48,43.440000000000005,2.64,Tackle,Spain vs Netherlands
60,Spain,2,50,43.8,71.52000000000001,Tackle,Spain vs Netherlands
61,Spain,2,50,30.599999999999998,65.52000000000001,Tackle,Spain vs Netherlands
62,Netherlands,2,57,52.559999999999995,4.32,Tackle,Spain vs Netherlands
63,Netherlands,2,60,33.6,49.44,Tackle,Spain vs Netherlands
