,team,half,min,x_start,y_start,x_end,y_end,outcome,game_num
0,Croatia,1,0,50.1,50.7,53.1,50.0,1,f24-4-2013-731767-eventdetails.xml
1,Croatia,1,0,53.1,50.0,38.2,52.5,1,f24-4-2013-731767-eventdetails.xml
2,Croatia,1,0,38.2,53.0,20.9,48.2,1,f24-4-2013-731767-eventdetails.xml
3,Croatia,1,0,20.9,48.2,9.0,39.1,1,f24-4-2013-731767-eventdetails.xml
4,Croatia,1,0,8.8,39.2,30.6,0.0,0,f24-4-2013-731767-eventdetails.xml
5,Brazil,1,0,68.6,100.0,72.8,85.7,1,f24-4-2013-731767-eventdetails.xml
6,Brazil,1,0,73.0,85.1,69.8,97.1,1,f24-4-2013-731767-eventdetails.xml
7,Croatia,1,0,70.8,100.0,65.1,87.7,1,f24-4-2013-731767-eventdetails.xml
8,Croatia,1,0,65.1,87.7,83.1,94.1,1,f24-4-2013-731767-eventdetails.xml
9,Croatia,1,0,83.1,94.1,72.6,72.1,1,f24-4-2013-731767-eventdetails.xml
10,Brazil,1,0,5.0,37.0,23.9,29.4,1,f24-4-2013-731767-eventdetails.xml
11,Brazil,1,1,23.9,29.4,32.4,6.4,1,f24-4-2013-731767-eventdetails.xml
12,Brazil,1,1,34.6,9.5,22.9,29.2,1,f24-4-2013-731767-eventdetails.xml
13,Brazil,1,1,28.6,31.6,28.0,75.6,1,f24-4-2013-731767-eventdetails.xml
14,Brazil,1,1,29.0,74.1,32.9,42.4,1,f24-4-2013-731767-eventdetails.xml
15,Brazil,1,1,37.4,25.2,44.4,4.1,1,f24-4-2013-731767-eventdetails.xml
16,Brazil,1,1,79.8,4.7,88.6,41.6,0,f24-4-2013-731767-eventdetails.xml
17,Croatia,1,1,40.5,92.1,32.8,100.0,0,f24-4-2013-731767-eventdetails.xml
18,Brazil,1,1,78.3,0.0,79.2,13.2,1,f24-4-2013-731767-eventdetails.xml
19,Brazil,1,1,72.8,11.7,72.1,27.9,1,f24-4-2013-731767-eventdetails.xml
20,Brazil,1,1,65.2,28.2,52.9,20.1,1,f24-4-2013-731767-eventdetails.xml
21,Brazil,1,1,54.1,18.5,64.2,11.3,1,f24-4-2013-731767-eventdetails.xml
