,team,half,min,x_start,y_start,outcome,x_end,y_end,game,type_id
0,Croatia,1,0,91.44,58.24,Miss,120.0,48.080000000000005,Brazil vs Croatia,13
1,Croatia,1,6,109.55999999999999,46.0,Miss,120.0,46.64,Brazil vs Croatia,13
2,Croatia,1,10,109.08,45.84,Miss,120.0,28.72,Brazil vs Croatia,13
3,Brazil,1,21,113.88000000000001,58.879999999999995,Miss,120.0,47.92,Brazil vs Croatia,13
4,Brazil,1,44,108.84,23.12,Miss,120.0,52.24,Brazil vs Croatia,13
5,Croatia,2,55,90.24,30.560000000000002,Miss,120.0,51.92000000000001,Brazil vs Croatia,13
6,Brazil,2,66,86.28,42.080000000000005,Miss,120.0,38.080000000000005,Brazil vs Croatia,13
7,Croatia,2,72,109.2,48.32,Miss,120.0,55.44,Brazil vs Croatia,13
8,Brazil,2,76,114.48,41.92,Miss,120.0,50.400000000000006,Brazil vs Croatia,13
9,Croatia,2,87,105.0,46.0,Miss,120.0,52.24,Brazil vs Croatia,13
10,Croatia,2,94,87.0,47.68000000000001,Miss,120.0,40.96000000000001,Brazil vs Croatia,13
11,Spain,1,9,90.96,52.64,Miss,120.0,37.36000000000001,Spain vs Netherlands,13
12,Spain,1,17,105.96,22.64,Miss,120.0,29.84,Spain vs Netherlands,13
13,Spain,1,22,109.55999999999999,37.760000000000005,Miss,120.0,7.2,Spain vs Netherlands,13
14,Spain,2,75,87.84,47.2,Miss,120.0,45.28,Spain vs Netherlands,13
15,Netherlands,2,90,107.39999999999999,45.36000000000001,Miss,120.0,34.0,Spain vs Netherlands,13
16,Costa Rica,1,11,109.8,39.6,Miss,120.0,41.120000000000005,Uruguay vs Costa Rica,13
17,Uruguay,1,15,109.55999999999999,29.52,Miss,120.0,30.0,Uruguay vs Costa Rica,13
18,Uruguay,1,25,109.2,58.08,Miss,120.0,36.4,Uruguay vs Costa Rica,13
19,Costa Rica,1,26,82.08,29.28,Miss,120.0,34.480000000000004,Uruguay vs Costa Rica,13
20,Uruguay,1,39,95.16,44.0,Miss,120.0,28.880000000000003,Uruguay vs Costa Rica,13
21,Costa Rica,1,46,105.11999999999999,33.68,Miss,120.0,31.12,Uruguay vs Costa Rica,13
22,Costa Rica,2,49,116.28,47.04,Miss,120.0,0.16000000000000003,Uruguay vs Costa Rica,13
23,Uruguay,2,51,90.48,52.400000000000006,Miss,120.0,27.760000000000005,Uruguay vs Costa Rica,13
24,Costa Rica,2,63,85.68,36.32,Miss,120.0,45.28,Uruguay vs Costa Rica,13
25,Costa Rica,2,65,108.11999999999999,34.72,Miss,120.0,51.92000000000001,Uruguay vs Costa Rica,13
26,Costa Rica,2,68,88.2,25.12,Miss,120.0,40.800000000000004,Uruguay vs Costa Rica,13
27,Costa Rica,2,76,108.84,34.160000000000004,Miss,120.0,60.720000000000006,Uruguay vs Costa Rica,13
28,England,1,3,90.48,24.560000000000002,Miss,120.0,35.28,England vs Italy,13
29,Italy,1,7,105.96,56.64,Miss,120.0,19.28,England vs Italy,13
30,England,1,10,88.2,36.96,Miss,120.0,47.52,England vs Italy,13
31,England,1,15,92.88000000000001,21.6,Miss,120.0,31.360000000000003,England vs Italy,13
32,Italy,1,22,88.2,42.24,Miss,120.0,35.04,England vs Italy,13
33,Italy,1,27,91.44,18.96,Miss,120.0,57.2,England vs Italy,13
34,Italy,1,32,112.44,35.12,Miss,120.0,79.84,England vs Italy,13
35,Italy,1,44,90.11999999999999,28.560000000000002,Miss,120.0,43.760000000000005,England vs Italy,13
36,England,2,53,96.36,24.32,Miss,120.0,48.080000000000005,England vs Italy,13
37,England,2,60,91.32,41.68000000000001,Miss,120.0,34.480000000000004,England vs Italy,13
38,England,2,61,105.48,50.160000000000004,Miss,120.0,44.96000000000001,England vs Italy,13
39,Italy,2,67,94.08,19.36,Miss,120.0,34.480000000000004,England vs Italy,13
40,England,2,71,90.6,24.240000000000002,Miss,120.0,49.44,England vs Italy,13
41,England,2,84,96.48,56.64,Miss,120.0,41.36000000000001,England vs Italy,13
42,England,2,86,95.16,45.68000000000001,Miss,120.0,34.0,England vs Italy,13
43,England,2,88,98.64,26.880000000000003,Miss,120.0,50.24,England vs Italy,13
44,England,2,89,92.52,26.880000000000003,Miss,120.0,24.32,England vs Italy,13
45,Argentina,1,2,111.0,41.760000000000005,Miss,120.0,31.52,Argentina vs Bosnia and Herzegovina,13
46,Argentina,1,30,88.91999999999999,30.160000000000004,Miss,120.0,40.0,Argentina vs Bosnia and Herzegovina,13
47,Bosnia and Herzegovina,1,32,94.55999999999999,44.080000000000005,Miss,120.0,43.36000000000001,Argentina vs Bosnia and Herzegovina,13
48,Bosnia and Herzegovina,1,42,86.04,51.6,Miss,120.0,25.680000000000003,Argentina vs Bosnia and Herzegovina,13
49,Argentina,2,54,105.48,53.28,Miss,120.0,32.480000000000004,Argentina vs Bosnia and Herzegovina,13
50,Bosnia and Herzegovina,2,60,82.2,46.080000000000005,Miss,120.0,32.64,Argentina vs Bosnia and Herzegovina,13
51,Argentina,2,63,86.52,41.68000000000001,Miss,120.0,42.480000000000004,Argentina vs Bosnia and Herzegovina,13
52,Bosnia and Herzegovina,2,68,96.96,24.240000000000002,Miss,120.0,32.480000000000004,Argentina vs Bosnia and Herzegovina,13
53,Argentina,2,75,94.68,23.840000000000003,Miss,120.0,32.800000000000004,Argentina vs Bosnia and Herzegovina,13
54,Argentina,2,77,109.08,40.88,Miss,120.0,38.64,Argentina vs Bosnia and Herzegovina,13
55,Bosnia and Herzegovina,2,86,91.32,54.24,Miss,120.0,47.36000000000001,Argentina vs Bosnia and Herzegovina,13
56,Argentina,2,91,114.0,27.6,Miss,120.0,34.88,Argentina vs Bosnia and Herzegovina,13
57,Portugal,1,5,86.28,58.24,Miss,120.0,37.92,Germany vs Portugal,13
58,Germany,1,7,86.52,25.760000000000005,Miss,120.0,45.44,Germany vs Portugal,13
59,Portugal,1,24,98.28,22.16,Miss,120.0,42.480000000000004,Germany vs Portugal,13
60,Portugal,1,35,110.64,42.72,Miss,120.0,41.68000000000001,Germany vs Portugal,13
61,Germany,1,39,104.75999999999999,53.44,Miss,120.0,43.36000000000001,Germany vs Portugal,13
62,Germany,2,50,112.2,46.0,Miss,120.0,40.96000000000001,Germany vs Portugal,13
63,Algeria,1,17,109.91999999999999,57.68,Miss,120.0,48.160000000000004,Belgium vs Algeria,13
64,Belgium,1,26,88.91999999999999,56.720000000000006,Miss,120.0,48.080000000000005,Belgium vs Algeria,13
65,Belgium,1,29,86.75999999999999,61.760000000000005,Miss,120.0,33.04,Belgium vs Algeria,13
66,Belgium,1,38,92.04,30.080000000000002,Miss,120.0,42.480000000000004,Belgium vs Algeria,13
67,Belgium,1,41,80.52,43.84,Miss,120.0,31.84,Belgium vs Algeria,13
68,Belgium,2,49,115.44,33.36000000000001,Miss,120.0,39.6,Belgium vs Algeria,13
69,Algeria,2,56,111.84,45.04,Miss,120.0,31.92,Belgium vs Algeria,13
70,Belgium,2,65,100.2,54.24,Miss,120.0,47.6,Belgium vs Algeria,13
71,Belgium,2,72,107.88000000000001,44.88,Miss,120.0,36.800000000000004,Belgium vs Algeria,13
72,Brazil,1,17,85.32,18.96,Miss,120.0,64.48,Brazil vs Mexico,13
73,Mexico,1,23,95.39999999999999,19.52,Miss,120.0,37.2,Brazil vs Mexico,13
74,Mexico,1,25,80.16,56.96000000000001,Miss,120.0,40.24,Brazil vs Mexico,13
