,team,half,min,x_start,y_start,outcome,game,type_id
0,Brazil,1,1,53.279999999999994,4.960000000000001,Successful,Brazil vs Croatia,3
1,Croatia,1,2,81.96,76.4,Successful,Brazil vs Croatia,3
2,Croatia,1,6,54.959999999999994,36.480000000000004,Successful,Brazil vs Croatia,3
3,Croatia,1,9,28.92,25.12,Successful,Brazil vs Croatia,3
4,Brazil,1,18,85.2,4.32,Successful,Brazil vs Croatia,3
5,Brazil,1,20,74.64,21.44,Successful,Brazil vs Croatia,3
6,Brazil,1,20,93.84,64.48,Successful,Brazil vs Croatia,3
7,Brazil,1,21,116.88,22.560000000000002,Successful,Brazil vs Croatia,3
8,Brazil,1,21,91.2,70.72000000000001,Successful,Brazil vs Croatia,3
9,Croatia,1,28,111.11999999999999,63.6,Successful,Brazil vs Croatia,3
10,Brazil,1,28,74.16,33.760000000000005,Successful,Brazil vs Croatia,3
11,Brazil,1,28,81.71999999999998,41.92,Successful,Brazil vs Croatia,3
12,Brazil,1,32,98.64,75.04,Successful,Brazil vs Croatia,3
13,Croatia,1,36,91.2,76.48,Successful,Brazil vs Croatia,3
14,Brazil,1,36,66.96,22.240000000000002,Successful,Brazil vs Croatia,3
15,Brazil,1,39,95.88000000000001,10.4,Successful,Brazil vs Croatia,3
16,Croatia,1,42,69.84,14.880000000000003,Successful,Brazil vs Croatia,3
17,Brazil,1,44,105.11999999999999,22.560000000000002,Successful,Brazil vs Croatia,3
18,Brazil,2,46,76.67999999999999,23.52,Successful,Brazil vs Croatia,3
19,Brazil,2,49,108.6,6.56,Successful,Brazil vs Croatia,3
20,Croatia,2,52,56.16,15.12,Successful,Brazil vs Croatia,3
21,Brazil,2,57,74.64,12.32,Successful,Brazil vs Croatia,3
22,Brazil,2,64,72.36,59.84,Successful,Brazil vs Croatia,3
23,Brazil,2,75,86.88000000000001,63.36000000000001,Successful,Brazil vs Croatia,3
24,Brazil,2,75,103.2,70.08,Successful,Brazil vs Croatia,3
25,Brazil,2,75,87.24,12.0,Successful,Brazil vs Croatia,3
26,Croatia,2,77,52.08,29.439999999999998,Successful,Brazil vs Croatia,3
27,Brazil,2,78,77.64,72.8,Successful,Brazil vs Croatia,3
28,Croatia,2,82,39.48,5.68,Successful,Brazil vs Croatia,3
29,Brazil,2,88,32.879999999999995,48.0,Successful,Brazil vs Croatia,3
30,Brazil,2,90,88.32,49.2,Successful,Brazil vs Croatia,3
31,Croatia,2,91,79.68,3.3600000000000003,Successful,Brazil vs Croatia,3
32,Croatia,2,92,67.2,40.0,Successful,Brazil vs Croatia,3
33,Netherlands,1,29,33.839999999999996,17.28,Successful,Spain vs Netherlands,3
34,Netherlands,1,29,75.0,74.0,Successful,Spain vs Netherlands,3
35,Netherlands,1,33,89.16,76.72000000000001,Successful,Spain vs Netherlands,3
36,Netherlands,1,40,68.16,78.72000000000001,Successful,Spain vs Netherlands,3
37,Netherlands,2,50,39.48,16.64,Successful,Spain vs Netherlands,3
38,Netherlands,2,52,105.71999999999998,36.480000000000004,Successful,Spain vs Netherlands,3
39,Spain,2,57,77.04,71.44,Successful,Spain vs Netherlands,3
40,Netherlands,2,79,79.91999999999999,26.0,Successful,Spain vs Netherlands,3
41,Netherlands,2,79,108.24,37.2,Successful,Spain vs Netherlands,3
42,Netherlands,2,80,79.68,6.640000000000001,Successful,Spain vs Netherlands,3
43,Netherlands,2,86,55.92,50.24,Successful,Spain vs Netherlands,3
44,Netherlands,2,86,102.71999999999998,41.6,Successful,Spain vs Netherlands,3
45,Netherlands,2,89,102.11999999999999,69.28,Successful,Spain vs Netherlands,3
46,Netherlands,2,90,27.0,10.08,Successful,Spain vs Netherlands,3
47,Spain,2,92,103.68,19.36,Successful,Spain vs Netherlands,3
48,Uruguay,1,1,72.0,76.88,Successful,Uruguay vs Costa Rica,3
49,Costa Rica,1,8,84.96,32.4,Successful,Uruguay vs Costa Rica,3
50,Costa Rica,1,11,48.72,45.6,Successful,Uruguay vs Costa Rica,3
51,Costa Rica,1,27,73.2,14.56,Successful,Uruguay vs Costa Rica,3
52,Uruguay,1,43,83.52,53.6,Successful,Uruguay vs Costa Rica,3
53,Uruguay,2,51,88.2,55.52000000000001,Successful,Uruguay vs Costa Rica,3
54,Uruguay,2,53,65.52,29.12,Successful,Uruguay vs Costa Rica,3
55,Uruguay,2,55,51.24,51.52000000000001,Successful,Uruguay vs Costa Rica,3
56,Costa Rica,2,75,86.52,4.960000000000001,Successful,Uruguay vs Costa Rica,3
57,Costa Rica,2,92,117.24,77.52000000000001,Successful,Uruguay vs Costa Rica,3
58,England,1,3,76.8,25.92,Successful,England vs Italy,3
59,England,1,21,69.12,11.440000000000001,Successful,England vs Italy,3
60,England,1,23,99.11999999999999,16.880000000000003,Successful,England vs Italy,3
61,England,1,29,56.04,3.84,Successful,England vs Italy,3
62,Italy,1,44,86.04,17.12,Successful,England vs Italy,3
63,Italy,1,47,114.0,56.64,Successful,England vs Italy,3
64,England,2,48,88.8,24.400000000000002,Successful,England vs Italy,3
65,England,2,50,103.44,53.120000000000005,Successful,England vs Italy,3
66,England,2,55,107.52,27.6,Successful,England vs Italy,3
67,England,2,58,90.84,76.48,Successful,England vs Italy,3
68,Italy,2,62,101.04,10.72,Successful,England vs Italy,3
69,England,2,65,90.6,12.64,Successful,England vs Italy,3
70,England,2,81,85.32,35.52,Successful,England vs Italy,3
71,Italy,2,85,26.4,73.28,Successful,England vs Italy,3
72,England,2,86,84.24,65.28,Successful,England vs Italy,3
73,England,2,88,96.36,21.76,Successful,England vs Italy,3
74,Argentina,1,0,45.24,30.400000000000002,Successful,Argentina vs Bosnia and Herzegovina,3
75,Argentina,1,0,71.52,27.200000000000003,Successful,Argentina vs Bosnia and Herzegovina,3
76,Argentina,1,1,73.44,74.88,Successful,Argentina vs Bosnia and Herzegovina,3
77,Bosnia and Herzegovina,1,13,71.75999999999999,19.680000000000003,Successful,Argentina vs Bosnia and Herzegovina,3
78,Bosnia and Herzegovina,1,13,72.12,23.36,Successful,Argentina vs Bosnia and Herzegovina,3
79,Argentina,1,22,88.55999999999999,8.48,Successful,Argentina vs Bosnia and Herzegovina,3
80,Argentina,1,33,52.08,26.560000000000002,Successful,Argentina vs Bosnia and Herzegovina,3
81,Argentina,1,38,63.35999999999999,32.96,Successful,Argentina vs Bosnia and Herzegovina,3
82,Bosnia and Herzegovina,1,39,67.08,25.12,Successful,Argentina vs Bosnia and Herzegovina,3
83,Argentina,1,44,48.959999999999994,68.08,Successful,Argentina vs Bosnia and Herzegovina,3
84,Argentina,1,44,91.2,21.200000000000003,Successful,Argentina vs Bosnia and Herzegovina,3
85,Bosnia and Herzegovina,2,51,107.28,64.48,Successful,Argentina vs Bosnia and Herzegovina,3
86,Bosnia and Herzegovina,2,53,89.28,51.68,Successful,Argentina vs Bosnia and Herzegovina,3
87,Bosnia and Herzegovina,2,57,107.04,16.16,Successful,Argentina vs Bosnia and Herzegovina,3
88,Argentina,2,59,93.6,50.88,Successful,Argentina vs Bosnia and Herzegovina,3
89,Argentina,2,64,97.44,37.28,Successful,Argentina vs Bosnia and Herzegovina,3
90,Argentina,2,69,105.96,74.56,Successful,Argentina vs Bosnia and Herzegovina,3
91,Argentina,2,71,78.96,31.360000000000003,Successful,Argentina vs Bosnia and Herzegovina,3
92,Bosnia and Herzegovina,2,72,88.44,30.880000000000003,Successful,Argentina vs Bosnia and Herzegovina,3
93,Argentina,2,74,87.11999999999999,45.760000000000005,Successful,Argentina vs Bosnia and Herzegovina,3
94,Argentina,2,82,48.72,21.44,Successful,Argentina vs Bosnia and Herzegovina,3
95,Bosnia and Herzegovina,2,90,73.2,70.56,Successful,Argentina vs Bosnia and Herzegovina,3
96,Bosnia and Herzegovina,2,91,85.32,47.68000000000001,Successful,Argentina vs Bosnia and Herzegovina,3
97,Argentina,2,91,108.71999999999998,29.28,Successful,Argentina vs Bosnia and Herzegovina,3
98,Germany,1,3,116.39999999999999,59.68,Successful,Germany vs Portugal,3
99,Portugal,1,5,51.84,54.96000000000001,Successful,Germany vs Portugal,3
100,Portugal,1,5,74.39999999999999,5.36,Successful,Germany vs Portugal,3
101,Germany,1,19,105.11999999999999,65.76,Successful,Germany vs Portugal,3
102,Portugal,1,21,84.24,10.240000000000002,Successful,Germany vs Portugal,3
103,Germany,1,23,87.6,61.04,Successful,Germany vs Portugal,3
104,Portugal,1,42,51.959999999999994,29.12,Successful,Germany vs Portugal,3
105,Germany,2,55,92.64,27.84,Successful,Germany vs Portugal,3
106,Germany,2,55,90.24,34.56,Successful,Germany vs Portugal,3
107,Portugal,2,55,52.08,7.440000000000001,Successful,Germany vs Portugal,3
108,Portugal,2,58,71.52,62.08,Successful,Germany vs Portugal,3
109,Portugal,2,58,86.64,50.24,Successful,Germany vs Portugal,3
110,Portugal,2,67,60.24,45.6,Successful,Germany vs Portugal,3
111,Portugal,2,74,83.16,48.24,Successful,Germany vs Portugal,3
112,Portugal,2,82,50.04,17.76,Successful,Germany vs Portugal,3
113,Algeria,1,9,38.52,52.48,Successful,Belgium vs Algeria,3
114,Belgium,1,12,63.35999999999999,67.2,Successful,Belgium vs Algeria,3
115,Belgium,1,16,87.11999999999999,2.64,Successful,Belgium vs Algeria,3
116,Belgium,1,26,88.8,59.2,Successful,Belgium vs Algeria,3
117,Belgium,1,29,81.6,61.92000000000001,Successful,Belgium vs Algeria,3
118,Algeria,1,35,45.0,76.64,Successful,Belgium vs Algeria,3
119,Belgium,1,37,83.04,27.760000000000005,Successful,Belgium vs Algeria,3
120,Belgium,1,43,92.88000000000001,57.52000000000001,Successful,Belgium vs Algeria,3
121,Belgium,1,43,101.88000000000001,73.44,Successful,Belgium vs Algeria,3
122,Belgium,2,50,97.44,20.72,Successful,Belgium vs Algeria,3
123,Belgium,2,63,81.11999999999999,52.56,Successful,Belgium vs Algeria,3
124,Belgium,2,65,83.64,35.839999999999996,Successful,Belgium vs Algeria,3
125,Belgium,2,66,108.96,72.32000000000001,Successful,Belgium vs Algeria,3
126,Algeria,2,79,83.75999999999999,33.12,Successful,Belgium vs Algeria,3
127,Belgium,2,84,84.24,2.4000000000000004,Successful,Belgium vs Algeria,3
128,Belgium,2,93,111.84,69.44,Successful,Belgium vs Algeria,3
129,Brazil,1,0,53.76,11.280000000000001,Successful,Brazil vs Mexico,3
130,Brazil,1,4,31.92,51.44,Successful,Brazil vs Mexico,3
131,Mexico,1,8,77.28,15.92,Successful,Brazil vs Mexico,3
132,Brazil,1,8,46.559999999999995,53.92000000000001,Successful,Brazil vs Mexico,3
133,Brazil,1,10,87.96,75.84,Successful,Brazil vs Mexico,3
134,Brazil,1,18,81.0,70.0,Successful,Brazil vs Mexico,3
135,Mexico,1,22,108.24,20.8,Successful,Brazil vs Mexico,3
136,Mexico,1,24,101.39999999999999,4.16,Successful,Brazil vs Mexico,3
137,Mexico,1,30,68.16,42.88,Successful,Brazil vs Mexico,3
138,Brazil,1,32,82.68,53.760000000000005,Successful,Brazil vs Mexico,3
139,Brazil,1,37,38.64,75.2,Successful,Brazil vs Mexico,3
140,Mexico,1,40,94.68,60.64,Successful,Brazil vs Mexico,3
141,Mexico,2,60,54.84,22.16,Successful,Brazil vs Mexico,3
142,Brazil,2,63,39.0,53.04,Successful,Brazil vs Mexico,3
143,Brazil,2,63,89.28,54.400000000000006,Successful,Brazil vs Mexico,3
144,Brazil,2,68,114.11999999999999,25.12,Successful,Brazil vs Mexico,3
145,Brazil,2,69,72.47999999999999,72.96000000000001,Successful,Brazil vs Mexico,3
146,Brazil,2,71,57.35999999999999,66.08,Successful,Brazil vs Mexico,3
147,Mexico,2,78,71.75999999999999,3.5200000000000005,Successful,Brazil vs Mexico,3
148,Brazil,2,90,79.68,43.760000000000005,Successful,Brazil vs Mexico,3
149,Brazil,2,91,76.32,76.64,Successful,Brazil vs Mexico,3
150,Chile,1,0,107.28,51.6,Successful,Spain vs Chile,3
151,Spain,1,8,95.52,12.8,Successful,Spain vs Chile,3
152,Spain,1,10,90.71999999999998,16.32,Successful,Spain vs Chile,3
153,Spain,1,14,102.48,34.64,Successful,Spain vs Chile,3
154,Chile,1,18,111.48,40.96000000000001,Successful,Spain vs Chile,3
